company,name,year,kms_driven,price,fuel_type,unnamed: 6
Honda,CBR,2023,15000,28900000,bensin,
Honda,Beat,2021,30000,15100000,bensin,
Honda,Beat,2021,15000,14800000,bensin,
Honda,CBR,2022,30000,27500000,bensin,
Kawasaki,Ninja 250,2013,15000,27500000,bensin,
Yamaha,NMAX,2022,20000,26500000,bensin,
Yamaha,YZF R15,2023,10000,33800000,bensin,
Honda,PCX,2021,15000,29500000,bensin,
Kawasaki,Ninja 250,2016,50000,33300000,bensin,
Yamaha,Mio,2018,5000,12500000,bensin,
Suzuki,Shooter,2014,5000,5750000,bensin,
Honda,Sonic,2021,5000,18400000,bensin,
Honda,Vario,2017,20000,16500000,bensin,
Honda,Vario,2017,50000,17800000,bensin,
Yamaha,YZF R15,2015,25000,13250000,bensin,
Suzuki,Shogun,2005,300000,4300000,bensin,
Honda,Beat,2016,35000,10100000,bensin,
Yamaha,Xeon,2015,25000,9000000,bensin,
Yamaha,NMAX,2019,30000,21300000,bensin,
Honda,Scoopy,2018,35000,14300000,bensin,
Honda,Beat,2023,10000,16900000,bensin,
Honda,Beat,2022,15000,15500000,bensin,
Honda,PCX,2021,25000,26250000,bensin,
Yamaha,NMAX,2021,25000,22600000,bensin,
Honda,Beat,2015,45000,10000000,bensin,
Honda,Vario,2017,35000,13900000,bensin,
Honda,Beat,2019,65000,13200000,bensin,
Honda,CBR,2019,30000,22300000,bensin,
Honda,Scoopy,2018,5000,14500000,bensin,
Honda,Beat,2011,5000,7800000,bensin,
Honda,Beat,2018,5000,12500000,bensin,
Yamaha,Vixion,2017,5000,12000000,bensin,
Yamaha,Vixion,2014,5000,11000000,bensin,
Honda,PCX,2020,25000,29700000,bensin,
Honda,Scoopy,2020,25000,18500000,bensin,
Honda,Beat,2014,105000,8000000,bensin,
Yamaha,Aerox,2017,65000,16000000,bensin,
Honda,CBR,2017,25000,39500000,bensin,
Yamaha,Freego,2022,5000,19800000,bensin,
Honda,Beat,2023,5000,18200000,bensin,
Honda,Scoopy,2023,5000,20700000,bensin,
Honda,CBR,2016,5000,18800000,bensin,
